SpaceX,Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,50.0 ,Success,2020,Aug,Fri,7,312.0,USA
CASC,Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75 ,Success,2020,Aug,Thu,6,241.0,China
SpaceX,Starship Prototype | 150 Meter Hop,StatusActive,nan,Success,2020,Aug,Tue,4,1437.0,USA
Roscosmos,Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65.0 ,Success,2020,Jul,Thu,30,1285.0,Kazakhstan
ULA,Atlas V 541 | Perseverance,StatusActive,145.0 ,Success,2020,Jul,Thu,30,710.0,USA
CASC,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68 ,Success,2020,Jul,Sat,25,193.0,China
Roscosmos,Soyuz 2.1a | Progress MS-15,StatusActive,48.5 ,Success,2020,Jul,Thu,23,866.0,Kazakhstan
CASC,Long March 5 | Tianwen-1,StatusActive,nan,Success,2020,Jul,Thu,23,281.0,China
SpaceX,Falcon 9 Block 5 | ANASIS-II,StatusActive,50.0 ,Success,2020,Jul,Mon,20,1290.0,USA
JAXA,H-IIA 202 | Hope Mars Mission,StatusActive,90.0 ,Success,2020,Jul,Sun,19,1318.0,Japan
Northrop,Minotaur IV | NROL-129,StatusActive,46.0 ,Success,2020,Jul,Wed,15,826.0,USA
ExPace,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3 ,Failure,2020,Jul,Fri,10,257.0,China
CASC,Long March 3B/E | Apstar-6D,StatusActive,29.15 ,Success,2020,Jul,Thu,9,731.0,China
IAI,Shavit-2 | Ofek-16,StatusActive,nan,Success,2020,Jul,Mon,6,60.0,Israel
CASC,Long March 2D | Shiyan-6 02,StatusActive,29.75 ,Success,2020,Jul,Sat,4,1424.0,China
Rocket Lab,Electron/Curie | Pics Or It Didn??¦t Happen,StatusActive,7.5 ,Failure,2020,Jul,Sat,4,1279.0,New Zealand
CASC,Long March 4B | Gaofen Duomo & BY-02,StatusActive,64.68 ,Success,2020,Jul,Fri,3,190.0,China
SpaceX,Falcon 9 Block 5 | GPS III SV03,StatusActive,50.0 ,Success,2020,Jun,Tue,30,1210.0,USA
CASC,Long March 3B/E | Beidou-3 G3,StatusActive,29.15 ,Success,2020,Jun,Tue,23,103.0,China
CASC,"Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5",StatusActive,29.75 ,Success,2020,Jun,Wed,17,439.0,China
SpaceX,Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18,StatusActive,50.0 ,Success,2020,Jun,Sat,13,561.0,USA
Rocket Lab,Electron/Curie | Don't stop me now!,StatusActive,7.5 ,Success,2020,Jun,Sat,13,312.0,New Zealand
CASC,Long March 2C | Haiyang-1D,StatusActive,30.8 ,Success,2020,Jun,Wed,10,1111.0,China
SpaceX,Falcon 9 Block 5 | Starlink V1 L7,StatusActive,50.0 ,Success,2020,Jun,Thu,4,85.0,USA
CASC,Long March 2D | Gaofen-9-02 & HEAD-4,StatusActive,29.75 ,Success,2020,May,Sun,31,533.0,China
SpaceX,Falcon 9 Block 5 | SpaceX Demo-2,StatusActive,50.0 ,Success,2020,May,Sat,30,1162.0,USA
CASC,Long March 11 | XJS-G and XJS-H,StatusActive,5.3 ,Success,2020,May,Fri,29,1213.0,China
Virgin Orbit,LauncherOne | Demo Flight,StatusActive,12.0 ,Failure,2020,May,Mon,25,1190.0,USA
VKS RF,Soyuz 2.1b/Fregat-M | Cosmos 2546,StatusActive,nan,Success,2020,May,Fri,22,451.0,Russia
MHI,H-IIB | HTV-9,StatusRetired,112.5 ,Success,2020,May,Wed,20,1051.0,Japan
ULA,Atlas V 501 | OTV-6 (USSF-7),StatusActive,120.0 ,Success,2020,May,Sun,17,794.0,USA
ExPace,Kuaizhou 1A | Xingyun-2 01 (Wuhan) & 02,StatusActive,nan,Success,2020,May,Tue,12,76.0,China
CASC,Long March 5B | Test Flight (New Crew Capsule),StatusActive,nan,Success,2020,May,Tue,5,600.0,China
Roscosmos,Soyuz 2.1a | Progress MS-14,StatusActive,48.5 ,Success,2020,Apr,Sat,25,111.0,Kazakhstan
SpaceX,Falcon 9 Block 5 | Starlink V1 L6,StatusActive,50.0 ,Success,2020,Apr,Wed,22,1170.0,USA
IRGC,Qased | Noor 1,StatusActive,nan,Success,2020,Apr,Wed,22,239.0,Shahrud Missile Test Site
CASC,Long March 3B/E | Nusantara Dua,StatusActive,29.15 ,Failure,2020,Apr,Thu,9,706.0,China
